Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,215500.000000,225500.000000,215000.000000,222000.000000,221682.406250,977544
2020-05-21,227500.000000,233500.000000,222500.000000,225000.000000,224678.109375,1004395
2020-05-22,227000.000000,232500.000000,222500.000000,230500.000000,230170.234375,1108281
2020-05-25,234500.000000,241000.000000,234000.000000,241000.000000,240655.218750,1015069
2020-05-26,244000.000000,246000.000000,230000.000000,239000.000000,238658.078125,1568016
2020-05-27,231000.000000,234500.000000,226500.000000,228500.000000,228173.093750,1351505
2020-05-28,226000.000000,241000.000000,222000.000000,240500.000000,240155.937500,1625154
2020-05-29,240000.000000,243000.000000,226000.000000,226000.000000,225676.671875,3114298
2020-06-01,233500.000000,237000.000000,230000.000000,237000.000000,236660.937500,1140644
2020-06-02,235000.000000,236000.000000,232000.000000,234000.000000,233665.234375,689584
2020-06-03,235000.000000,235500.000000,225000.000000,225500.000000,225177.390625,1476614
2020-06-04,228000.000000,235000.000000,227000.000000,232500.000000,232167.375000,1052789
2020-06-05,229000.000000,231000.000000,225000.000000,231000.000000,230669.531250,1061922
2020-06-08,234500.000000,242000.000000,231000.000000,240500.000000,240155.937500,1624752
2020-06-09,240000.000000,243000.000000,235500.000000,237500.000000,237160.218750,934440
2020-06-10,241000.000000,247500.000000,240000.000000,244000.000000,243650.921875,1431071
2020-06-11,244000.000000,249000.000000,239000.000000,240500.000000,240155.937500,1423978
2020-06-12,229000.000000,242500.000000,228500.000000,242000.000000,241653.781250,1318334
2020-06-15,240000.000000,244500.000000,230500.000000,231500.000000,231168.812500,1311773
2020-06-16,239000.000000,243500.000000,236000.000000,243500.000000,243151.640625,1155474
2020-06-17,244000.000000,252000.000000,243500.000000,251000.000000,250640.906250,1357900
2020-06-18,251500.000000,254000.000000,247000.000000,247500.000000,247145.921875,744330
2020-06-19,250000.000000,250000.000000,244000.000000,249500.000000,249143.062500,919945
2020-06-22,249500.000000,271500.000000,247500.000000,270000.000000,269613.718750,1841479
2020-06-23,272000.000000,289000.000000,270500.000000,276000.000000,275605.156250,2104075
2020-06-24,273500.000000,279500.000000,270500.000000,279000.000000,278600.843750,995065
2020-06-25,273500.000000,276500.000000,269500.000000,269500.000000,269114.437500,1196267
2020-06-26,274500.000000,275000.000000,263000.000000,269000.000000,268615.156250,937593
2020-06-29,265000.000000,270500.000000,261000.000000,264000.000000,263622.312500,814814
2020-06-30,268000.000000,270500.000000,263000.000000,267000.000000,266618.031250,862860
2020-07-01,270000.000000,275000.000000,266000.000000,269000.000000,268615.156250,655711
2020-07-02,274000.000000,277000.000000,271000.000000,277000.000000,276603.718750,1015829
2020-07-03,276500.000000,280500.000000,274500.000000,277500.000000,277103.000000,971940
2020-07-06,278000.000000,287500.000000,278000.000000,281500.000000,281097.281250,1211636
2020-07-07,285000.000000,289500.000000,279000.000000,279500.000000,279100.125000,1365047
2020-07-08,280000.000000,284500.000000,274000.000000,282500.000000,282095.843750,1353345
2020-07-09,286500.000000,296500.000000,284500.000000,287500.000000,287088.687500,2006662
2020-07-10,291500.000000,308500.000000,290000.000000,299000.000000,298572.250000,2120904
2020-07-13,303500.000000,303500.000000,288000.000000,297000.000000,296575.093750,1254800
2020-07-14,290000.000000,291000.000000,285000.000000,287000.000000,286589.406250,1360849
2020-07-15,290500.000000,293000.000000,280500.000000,286500.000000,286090.125000,1276196
2020-07-16,283000.000000,285000.000000,272000.000000,273000.000000,272609.437500,1338814
2020-07-17,270000.000000,279500.000000,266000.000000,276000.000000,275605.156250,926932
2020-07-20,276500.000000,278000.000000,260500.000000,263000.000000,262623.750000,1556415
2020-07-21,273000.000000,273500.000000,269000.000000,270000.000000,269613.718750,1179638
2020-07-22,264000.000000,272500.000000,261500.000000,270000.000000,269613.718750,905784
2020-07-23,272000.000000,284000.000000,271000.000000,284000.000000,283593.687500,1396607
2020-07-24,281000.000000,290500.000000,278500.000000,281000.000000,280598.000000,1233584
2020-07-27,281000.000000,287500.000000,276500.000000,284500.000000,284093.000000,691075
2020-07-28,289500.000000,292000.000000,284000.000000,288000.000000,287587.968750,978238
2020-07-29,286000.000000,292000.000000,283000.000000,292000.000000,291582.250000,964066
2020-07-30,296000.000000,297500.000000,291000.000000,294000.000000,293579.406250,1150474
2020-07-31,299000.000000,303000.000000,296500.000000,301000.000000,300569.375000,1567503
2020-08-03,301500.000000,314500.000000,299000.000000,314500.000000,314050.062500,1341104
2020-08-04,317500.000000,322000.000000,307500.000000,311000.000000,310555.062500,1330818
2020-08-05,312000.000000,314500.000000,306500.000000,313500.000000,313051.500000,809939
2020-08-06,313000.000000,322000.000000,310500.000000,322000.000000,321539.343750,1032045
2020-08-07,324500.000000,325500.000000,312000.000000,314000.000000,313550.781250,1063254
2020-08-10,308500.000000,314500.000000,303500.000000,313500.000000,313051.500000,968592
2020-08-11,311000.000000,314500.000000,307500.000000,311500.000000,311054.343750,665863
2020-08-12,308000.000000,311000.000000,303500.000000,305000.000000,304563.656250,856711
2020-08-13,310000.000000,311500.000000,304000.000000,307000.000000,306560.781250,1406370
2020-08-14,305000.000000,308500.000000,303000.000000,305000.000000,304563.656250,608156
2020-08-18,307500.000000,317500.000000,305000.000000,307500.000000,307060.093750,1494966
2020-08-19,311500.000000,316000.000000,305500.000000,315000.000000,314549.343750,941038
2020-08-20,315000.000000,319000.000000,302500.000000,305500.000000,305062.937500,1186809
2020-08-21,311500.000000,314500.000000,308000.000000,312500.000000,312052.937500,781961
2020-08-24,313000.000000,320000.000000,310000.000000,320000.000000,319542.187500,783392
2020-08-25,323000.000000,325000.000000,317000.000000,325000.000000,324535.031250,897649
2020-08-26,321500.000000,338500.000000,321000.000000,334000.000000,333522.156250,1155853
2020-08-27,337000.000000,347000.000000,336500.000000,337000.000000,336517.875000,1232239
2020-08-28,337000.000000,338500.000000,329500.000000,333000.000000,332523.593750,969408
2020-08-31,336500.000000,340000.000000,322000.000000,322500.000000,322038.625000,1528978
2020-09-01,322500.000000,329500.000000,322000.000000,324500.000000,324035.750000,691864
2020-09-02,332500.000000,335500.000000,327000.000000,332500.000000,332024.312500,808064
2020-09-03,333500.000000,339500.000000,329500.000000,339000.000000,338515.031250,776547
2020-09-04,322500.000000,335000.000000,322000.000000,328500.000000,328030.031250,1174337
2020-09-07,325500.000000,325500.000000,313500.000000,314500.000000,314050.062500,1308247
2020-09-08,316000.000000,318000.000000,305500.000000,311000.000000,310555.062500,989171
2020-09-09,303000.000000,307000.000000,300000.000000,304500.000000,304064.375000,925825
2020-09-10,309000.000000,311000.000000,305000.000000,307500.000000,307060.093750,834946
2020-09-11,302500.000000,307000.000000,301000.000000,306000.000000,305562.218750,517023
2020-09-14,307500.000000,308000.000000,300000.000000,303000.000000,302566.531250,608816
2020-09-15,304000.000000,314000.000000,303000.000000,312000.000000,311553.656250,797985
2020-09-16,311500.000000,312000.000000,306000.000000,307000.000000,306560.781250,696219
2020-09-17,302500.000000,304000.000000,299000.000000,300500.000000,300070.093750,823516
2020-09-18,299500.000000,302000.000000,296000.000000,298000.000000,297573.687500,750488
2020-09-21,297000.000000,301500.000000,292000.000000,292000.000000,291582.250000,656024
2020-09-22,290500.000000,295000.000000,282000.000000,284500.000000,284093.000000,864846
2020-09-23,290000.000000,298000.000000,285500.000000,296500.000000,296075.812500,984136
2020-09-24,291500.000000,295500.000000,287000.000000,294000.000000,293579.406250,848971
2020-09-25,296000.000000,297500.000000,289500.000000,295000.000000,294577.968750,648182
2020-09-28,297000.000000,302000.000000,296000.000000,298500.000000,298072.968750,724465
2020-09-29,303000.000000,303000.000000,294000.000000,296500.000000,296075.812500,765489
2020-10-05,297500.000000,299000.000000,289500.000000,298500.000000,298072.968750,906516
2020-10-06,299500.000000,307500.000000,296500.000000,305000.000000,304563.656250,868540
2020-10-07,302000.000000,305000.000000,299500.000000,305000.000000,304563.656250,534644
2020-10-08,307500.000000,307500.000000,300000.000000,301000.000000,300569.375000,756735
2020-10-12,303000.000000,303000.000000,291500.000000,292000.000000,291582.250000,914860
2020-10-13,292000.000000,298000.000000,292000.000000,295000.000000,294577.968750,636487
2020-10-14,295000.000000,301000.000000,293000.000000,298500.000000,298072.968750,759464
2020-10-15,300500.000000,300500.000000,291000.000000,292500.000000,292081.531250,624097
2020-10-16,292500.000000,297500.000000,291500.000000,293500.000000,293080.125000,446832
2020-10-19,293500.000000,296500.000000,286000.000000,286000.000000,285590.843750,434420
2020-10-20,286500.000000,291000.000000,281000.000000,290000.000000,289585.125000,535870
2020-10-21,292500.000000,301000.000000,291000.000000,297500.000000,297074.375000,640501
2020-10-22,295000.000000,296000.000000,292000.000000,293000.000000,292580.812500,416425
2020-10-23,295500.000000,295500.000000,286000.000000,286500.000000,286090.125000,451654
2020-10-26,286500.000000,289000.000000,281500.000000,281500.000000,281097.281250,349163
2020-10-27,281500.000000,288500.000000,280500.000000,283500.000000,283094.406250,2071432
2020-10-28,282000.000000,298500.000000,281500.000000,298500.000000,298072.968750,698195
2020-10-29,297000.000000,301000.000000,294500.000000,298500.000000,298072.968750,785050
2020-10-30,299000.000000,300000.000000,290000.000000,290000.000000,289585.125000,939833
2020-11-02,292000.000000,293000.000000,285500.000000,285500.000000,285091.562500,503831
2020-11-03,284000.000000,287000.000000,280000.000000,283000.000000,282595.125000,1066923
2020-11-04,282500.000000,300500.000000,282000.000000,298500.000000,298072.968750,1623712
2020-11-05,295000.000000,302000.000000,291500.000000,299000.000000,298572.250000,1082388
2020-11-06,303000.000000,307000.000000,299000.000000,301000.000000,300569.375000,968971
2020-11-09,304000.000000,304500.000000,298000.000000,298000.000000,297573.687500,678531
2020-11-10,287000.000000,288000.000000,282000.000000,283000.000000,282595.125000,1728995
2020-11-11,281000.000000,283000.000000,277500.000000,280000.000000,279599.437500,1183499
2020-11-12,283000.000000,285500.000000,279000.000000,279000.000000,278600.843750,1016673
2020-11-13,277500.000000,282000.000000,277500.000000,281000.000000,280598.000000,710865
2020-11-16,282500.000000,283000.000000,277500.000000,278000.000000,277602.281250,887878
2020-11-17,277500.000000,278000.000000,273500.000000,275000.000000,274606.562500,816320
2020-11-18,274500.000000,283500.000000,274000.000000,281000.000000,280598.000000,912899
2020-11-19,282500.000000,284000.000000,279500.000000,280500.000000,280098.718750,520114
2020-11-20,281500.000000,283500.000000,278500.000000,281000.000000,280598.000000,439077
2020-11-23,282000.000000,282500.000000,278500.000000,281500.000000,281097.281250,565213
2020-11-24,281500.000000,287000.000000,280000.000000,282500.000000,282095.843750,809745
2020-11-25,287000.000000,287000.000000,278500.000000,278500.000000,278101.562500,909937
2020-11-26,280000.000000,285500.000000,280000.000000,285500.000000,285091.562500,797094
2020-11-27,287000.000000,287500.000000,283000.000000,284500.000000,284093.000000,417510
2020-11-30,286000.000000,286500.000000,277500.000000,277500.000000,277103.000000,1176272
2020-12-01,282000.000000,286000.000000,280000.000000,285500.000000,285091.562500,709278
2020-12-02,287000.000000,287000.000000,282000.000000,283500.000000,283094.406250,601596
2020-12-03,285000.000000,287000.000000,283500.000000,287000.000000,286589.406250,740985
2020-12-04,287500.000000,295500.000000,284500.000000,294000.000000,293579.406250,1174932
2020-12-07,300000.000000,300500.000000,288000.000000,289500.000000,289085.843750,821860
2020-12-08,291500.000000,291500.000000,285000.000000,285000.000000,284592.281250,566981
2020-12-09,285500.000000,289000.000000,285000.000000,288000.000000,287587.968750,533304
2020-12-10,288000.000000,290000.000000,284500.000000,286000.000000,285590.843750,959427
2020-12-11,288000.000000,291500.000000,287500.000000,290000.000000,289585.125000,503588
2020-12-14,292500.000000,294000.000000,286000.000000,286000.000000,285590.843750,555272
2020-12-15,286500.000000,287500.000000,282500.000000,283000.000000,282595.125000,491995
2020-12-16,286500.000000,287000.000000,283000.000000,285500.000000,285091.562500,381896
2020-12-17,286000.000000,287000.000000,282000.000000,285000.000000,284592.281250,522344
2020-12-18,284000.000000,285500.000000,282000.000000,282500.000000,282095.843750,487305
2020-12-21,284000.000000,285500.000000,280000.000000,284000.000000,283593.687500,473545
2020-12-22,285000.000000,293500.000000,284000.000000,284000.000000,283593.687500,750095
2020-12-23,288500.000000,289000.000000,283000.000000,284000.000000,283593.687500,508019
2020-12-24,284500.000000,284500.000000,280000.000000,282000.000000,281596.562500,453095
2020-12-28,282000.000000,282500.000000,280000.000000,281000.000000,280598.000000,537848
2020-12-29,281500.000000,285000.000000,280500.000000,283000.000000,283000.000000,506090
2020-12-30,285000.000000,293000.000000,284000.000000,292500.000000,292500.000000,1190327
2021-01-04,291500.000000,294000.000000,285500.000000,293000.000000,293000.000000,947178
2021-01-05,291500.000000,292500.000000,286500.000000,292500.000000,292500.000000,912657
2021-01-06,292500.000000,300500.000000,289500.000000,290000.000000,290000.000000,1375856
2021-01-07,288500.000000,292000.000000,286500.000000,289500.000000,289500.000000,1155734
2021-01-08,293500.000000,312000.000000,290000.000000,312000.000000,312000.000000,3175396
2021-01-11,320000.000000,323500.000000,301000.000000,309000.000000,309000.000000,2765169
2021-01-12,305000.000000,308500.000000,292500.000000,304000.000000,304000.000000,1573299
2021-01-13,306000.000000,317500.000000,304000.000000,314000.000000,314000.000000,1894304
2021-01-14,318500.000000,326000.000000,314000.000000,318000.000000,318000.000000,1548585
2021-01-15,320500.000000,323000.000000,305500.000000,306000.000000,306000.000000,1106810
2021-01-18,304500.000000,308500.000000,300000.000000,300500.000000,300500.000000,864969
2021-01-19,303500.000000,310500.000000,299500.000000,308000.000000,308000.000000,880238
2021-01-20,313500.000000,313500.000000,302000.000000,308000.000000,308000.000000,885472
2021-01-21,316500.000000,326000.000000,316000.000000,322500.000000,322500.000000,1941446
2021-01-22,332000.000000,350000.000000,326000.000000,343500.000000,343500.000000,3303950
2021-01-25,349000.000000,353000.000000,340000.000000,349000.000000,349000.000000,1593848
2021-01-26,350500.000000,351000.000000,338000.000000,342000.000000,342000.000000,1247284
2021-01-27,347000.000000,352000.000000,339500.000000,341500.000000,341500.000000,1149246
2021-01-28,336000.000000,366000.000000,335000.000000,355000.000000,355000.000000,2285696
2021-01-29,362000.000000,362000.000000,340500.000000,343000.000000,343000.000000,1607894
2021-02-01,346500.000000,352500.000000,341500.000000,348000.000000,348000.000000,988630
2021-02-02,358000.000000,373000.000000,353000.000000,362500.000000,362500.000000,1951062
2021-02-03,366500.000000,371000.000000,361000.000000,370500.000000,370500.000000,1197680
2021-02-04,368000.000000,368500.000000,356000.000000,358000.000000,358000.000000,1160116
2021-02-05,363500.000000,371500.000000,356500.000000,362500.000000,362500.000000,982325
2021-02-08,361500.000000,364500.000000,357000.000000,357500.000000,357500.000000,712484
2021-02-09,359500.000000,362000.000000,355000.000000,358500.000000,358500.000000,667655
2021-02-10,365000.000000,368000.000000,359000.000000,363000.000000,363000.000000,359597
